Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;7,58276E-05;2,44369E-05;9,87544E-06;8,83526E-06;6,72826E-05;3,05121E-06;8,40089E-07;4,54659E-05;7,14591E-05;7,66597E-05;4,87675E-05;2,31979E-05
2;7,90835E-05;4,03723E-05;6,21717E-05;1,83712E-06;1,39023E-05;1,53995E-05;3,02305E-05;7,2981E-05;7,42756E-05;1,81104E-05;3,74529E-05;4,60222E-05
3;5,76569E-05;1,98274E-05;6,21677E-05;6,29875E-05;3,85494E-05;4,36952E-05;2,15292E-05;4,9137E-05;5,32848E-05;4,8125E-05;7,48036E-05;4,17916E-05
4;1,14984E-05;2,65229E-05;7,69275E-06;7,8525E-05;2,91147E-05;2,4779E-05;1,71012E-05;3,65484E-06;2,13408E-05;4,3939E-05;7,62364E-05;5,31495E-05
5;2,11172E-05;6,42976E-05;7,86898E-05;7,15299E-06;1,61018E-05;7,90596E-05;4,44584E-06;2,66455E-05;5,53305E-05;9,98126E-06;6,43104E-05;1,38299E-05
6;5,62413E-05;7,86092E-05;8,91442E-06;2,16128E-05;5,60444E-05;6,95929E-05;5,10798E-05;8,78711E-06;7,1753E-05;2,16365E-05;6,39041E-05;1,25273E-05
7;5,63599E-05;6,56845E-05;2,09823E-05;4,59732E-05;9,58245E-06;6,14173E-05;5,33231E-05;7,95286E-05;6,14801E-05;7,02629E-05;7,11232E-05;6,78836E-05
8;1,59144E-05;1,45169E-05;2,29631E-05;4,03972E-05;3,10955E-05;6,80489E-05;3,45712E-05;6,91406E-05;6,94527E-05;5,90173E-05;2,82447E-05;7,769E-05
9;3,34258E-05;3,98985E-05;3,84849E-05;9,3393E-06;7,84108E-05;4,22003E-05;6,48649E-05;7,88457E-05;4,7382E-05;6,15955E-05;7,29124E-05;1,65942E-05
10;3,95782E-05;7,69292E-05;7,98386E-06;7,91738E-05;5,98887E-05;7,0168E-05;6,77405E-05;5,82648E-06;4,06059E-05;4,09494E-05;4,49517E-05;6,41702E-05
11;2,236E-05;4,37677E-05;3,36355E-05;2,30063E-05;5,00741E-05;4,57155E-05;6,56959E-05;4,11141E-05;1,28729E-05;2,903E-05;6,0606E-05;5,21473E-05
12;7,23647E-06;1,05145E-05;2,23145E-05;4,81468E-05;5,99912E-05;6,85701E-05;5,00335E-05;6,74089E-05;2,35552E-06;4,01183E-05;4,46203E-06;2,43704E-06
13;1,55643E-05;5,50619E-05;3,91156E-05;7,19978E-05;9,027E-06;5,89192E-05;7,05932E-05;2,0983E-05;7,19638E-06;4,60035E-05;6,22337E-05;1,81193E-05
14;8,73065E-06;3,5772E-05;6,74889E-05;1,835E-05;6,43945E-05;1,46397E-05;2,17904E-05;4,87526E-05;4,59917E-06;5,25037E-05;6,1494E-05;2,94071E-05
15;1,30164E-05;5,75451E-05;7,88732E-05;1,79236E-05;3,34661E-05;6,3944E-05;7,05665E-05;4,85712E-05;6,32309E-05;2,17473E-05;4,60411E-05;5,36545E-06
16;5,6251E-05;3,34498E-05;2,53007E-05;2,4595E-05;4,5377E-05;7,85388E-05;5,19571E-05;1,17067E-05;3,88113E-05;9,38606E-07;7,88415E-05;2,58575E-05
17;5,90997E-05;3,80747E-05;4,88198E-05;5,50146E-05;5,31268E-05;3,1483E-05;3,61787E-05;7,34389E-06;5,03934E-05;2,2097E-05;4,21309E-05;7,06366E-05
18;3,7479E-05;4,4485E-05;7,24734E-05;7,62962E-06;6,24556E-05;5,99165E-05;2,3971E-05;2,72262E-05;6,46983E-06;7,1842E-05;1,80592E-06;5,27682E-05
19;1,15994E-05;2,06122E-05;3,9111E-05;3,00157E-05;5,03741E-05;2,74732E-05;9,63166E-06;9,83904E-06;4,05832E-05;3,0924E-05;5,46571E-05;1,88908E-05
20;5,73472E-05;6,42383E-05;5,2777E-05;5,6894E-06;5,79092E-05;1,47291E-05;2,70984E-05;1,93986E-05;2,91081E-05;5,53735E-05;3,85023E-05;4,20349E-05
21;7,13126E-05;6,19393E-05;4,00497E-05;5,77042E-05;1,09334E-05;2,08261E-05;4,41242E-05;4,56134E-05;3,28724E-05;5,69313E-05;7,36937E-05;3,64988E-05
22;3,93866E-05;5,96419E-05;2,5083E-05;1,60059E-05;6,46058E-05;2,97743E-05;4,57084E-05;3,1328E-05;1,73948E-05;1,45468E-06;7,53788E-05;8,07842E-06
23;4,9161E-05;1,19094E-06;7,06269E-05;5,71533E-06;4,48753E-06;4,34996E-05;3,07363E-05;3,84264E-05;3,67317E-05;1,32308E-05;6,01652E-05;5,54844E-05
24;5,8629E-05;4,91353E-07;2,34847E-05;6,1235E-05;4,35259E-05;6,43668E-05;5,88424E-05;6,71564E-05;3,68983E-05;1,60399E-05;6,77061E-05;3,41337E-06
25;4,07604E-05;1,40502E-05;7,37037E-05;5,40622E-05;1,14022E-05;4,74092E-05;1,54658E-05;7,09388E-05;6,00395E-05;4,12336E-05;2,66597E-05;7,60793E-06
26;4,22218E-05;5,51465E-05;6,9938E-05;4,79913E-05;5,06716E-05;3,80927E-05;4,93878E-05;3,73963E-05;4,00773E-06;8,00469E-06;2,73663E-05;3,14586E-05
27;2,07644E-05;7,66759E-05;4,56118E-05;6,80639E-05;2,46629E-05;2,59501E-05;1,36914E-05;1,17842E-06;2,47027E-05;5,58589E-05;4,17101E-05;1,31267E-05
28;3,04753E-05;3,59882E-05;1,24498E-05;5,76202E-05;1,23181E-05;2,50793E-05;6,88673E-05;6,23929E-05;7,18666E-05;2,8848E-05;3,73218E-05;7,37372E-05
29;4,85772E-05;;4,51406E-05;3,8016E-06;5,95835E-05;3,32124E-05;1,33808E-05;7,15223E-05;5,54093E-05;6,12372E-05;1,41865E-05;3,89024E-06
30;6,46331E-05;;2,5715E-05;2,09037E-05;1,92909E-06;3,77606E-05;6,50565E-05;3,55093E-05;7,79557E-05;2,01268E-05;5,48414E-05;3,75177E-05
31;5,59846E-05;;2,82567E-05;;7,96032E-05;;1,29177E-05;5,32458E-05;;6,97468E-05;;4,24715E-05
